;Name;Acceleration;Aggression;Agility;Balance;Ball control;Composure;Crossing;Curve;Dribbling;Finishing;Free kick accuracy;GK diving;GK handling;GK kicking;GK positioning;GK reflexes;Heading accuracy;Interceptions;Jumping;Long passing;Long shots;Marking;Penalties;Positioning;Reactions;Short passing;Shot power;Sliding tackle;Sprint speed;Stamina;Standing tackle;Strength;Vision;Volleys;Role;Preferred
0;Cristiano Ronaldo;89;63;89;63;93;95;85;81;91;94;76;7;11;15;14;11;88;29;95;77;92;22;85;95;96;83;94;23;91;92;31;80;85;88;UT;ST
1;L. Messi;92;48;90;95;95;96;77;89;97;95;90;6;11;15;14;8;71;22;68;87;88;13;74;93;95;88;85;26;87;73;28;59;90;85;UT;RW
2;Neymar;94;56;96;82;95;92;75;81;96;89;84;9;9;15;15;11;62;36;61;75;77;21;81;90;88;81;80;33;90;78;24;53;80;83;UT;LW
3;L. Suárez;88;78;86;60;91;83;77;86;86;94;84;27;25;31;33;37;77;41;69;64;86;30;85;92;93;83;87;38;77;89;45;80;84;88;UT;ST
4;M. Neuer;58;29;52;35;48;70;15;14;30;13;11;91;90;95;91;89;25;30;78;59;16;10;47;12;85;55;25;11;61;44;10;83;70;11;OB;GK
5;R. Lewandowski;79;80;78;80;89;87;62;77;85;91;84;15;6;12;8;10;85;39;84;65;83;25;81;91;91;83;88;19;83;79;42;84;78;87;UT;ST
6;De Gea;57;38;60;43;42;64;17;21;18;13;19;90;85;87;86;90;21;30;67;51;12;13;40;12;88;50;31;13;58;40;21;64;68;13;OB;GK
7;E. Hazard;93;54;93;91;92;87;80;82;93;83;79;11;12;6;8;8;57;41;59;81;82;25;86;85;85;86;79;22;87;79;27;65;86;79;UT;LW
8;T. Kroos;60;60;71;69;89;85;85;85;79;76;84;10;11;13;7;10;54;85;32;93;90;63;73;79;86;90;87;69;52;77;82;74;88;82;OB;CD
9;G. Higuaín;78;50;75;69;85;86;68;74;84;91;62;5;12;7;5;10;86;20;79;59;82;12;70;92;88;75;88;18;80;72;22;85;70;88;UT;ST
10;Sergio Ramos;75;84;79;60;84;80;66;73;61;60;67;11;8;9;7;11;91;88;93;72;55;86;68;52;85;78;79;91;77;84;89;81;63;66;OB;CB
11;K. De Bruyne;76;68;80;75;87;84;90;83;85;83;83;15;13;5;10;13;53;56;65;84;86;30;77;84;88;90;85;40;75;87;51;73;90;82;ZA;RM
12;T. Courtois;46;23;61;45;23;52;14;19;13;14;11;85;91;69;86;88;13;15;68;31;17;11;27;13;81;32;36;16;52;38;18;70;44;12;OB;GK
13;A. Sánchez;88;80;90;87;87;86;80;78;90;85;78;10;10;15;12;13;70;42;85;73;82;30;77;86;87;81;84;35;84;85;39;72;83;83;ZA;RM
14;L. Modrić;75;62;93;94;92;84;78;79;86;71;77;13;9;7;14;9;55;76;67;83;82;66;80;79;88;92;73;73;71;82;80;58;90;74;OB;CD
15;G. Bale;93;65;77;65;87;85;87;86;89;87;85;15;15;11;5;6;86;59;85;80;90;51;76;86;87;86;91;52;95;76;55;80;79;76;UT;RW
16;S. Agüero;90;63;86;91;89;90;70;82;89;90;72;13;15;6;11;14;68;24;80;63;83;13;83;91;89;79;88;12;84;74;20;74;83;85;UT;ST
17;G. Chiellini;68;92;59;64;57;82;58;60;58;33;31;3;3;2;4;3;84;88;89;59;49;92;50;28;82;59;78;90;78;68;92;91;50;45;OB;CB
18;G. Buffon;49;38;55;49;28;70;13;20;26;15;13;89;88;74;90;84;13;28;75;35;13;10;22;12;80;37;39;11;43;39;11;69;50;17;OB;GK
19;P. Dybala;88;48;91;85;93;84;80;88;92;85;84;5;4;4;5;8;68;24;75;71;88;14;86;84;84;83;82;20;84;83;20;65;84;88;UT;ST
20;J. Oblak;43;34;67;49;16;55;13;13;12;11;14;84;90;77;87;84;15;19;76;26;12;14;11;11;84;29;22;18;60;41;12;78;55;13;OB;GK
21;A. Griezmann;87;69;90;80;86;86;82;84;87;88;75;14;8;14;13;14;80;35;87;75;82;23;71;91;90;79;81;11;86;76;22;61;76;87;UT;LW
22;Thiago;77;57;90;86;92;83;72;85;90;69;77;6;11;7;9;13;58;78;75;90;82;49;75;83;84;91;75;62;68;75;64;59;86;90;OB;CD
23;P. Aubameyang;95;43;77;70;82;84;77;78;82;88;74;6;9;15;9;9;79;48;77;64;79;28;79;89;87;77;81;36;96;79;25;77;77;86;UT;ST
24;L. Bonucci;62;82;60;52;75;84;44;56;69;39;61;2;2;3;2;4;88;90;85;85;65;84;70;38;86;79;74;88;72;73;88;85;74;58;OB;CB
25;J. Boateng;72;82;58;53;71;86;69;56;67;34;31;7;12;15;6;5;85;83;75;80;58;88;46;47;82;75;79;90;78;74;91;91;76;53;OB;CB
26;D. Godín;62;86;63;58;76;82;55;49;53;42;51;6;8;15;5;15;92;88;89;70;43;87;50;48;85;79;67;89;67;67;86;80;52;47;OB;CB
27;M. Hummels;62;66;64;58;77;91;64;65;68;55;53;15;6;10;5;6;89;89;68;85;51;85;68;56;85;80;71;90;65;66;92;85;79;60;OB;CB
28;M. Özil;75;48;83;70;90;78;82;84;86;74;79;6;14;10;6;14;54;24;52;84;76;22;67;83;87;89;70;19;68;69;16;57;92;77;UT;RW
