23:31:55 Log Start
23:31:58 (0, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.997, 0.003], dtype=float32), 'CHYBA')
23:31:58 (1, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'USPECH')
23:31:58 (2, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.998, 0.002], dtype=float32), 'USPECH')
23:31:58 (3, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.575, 0.425], dtype=float32), 'CHYBA')
23:31:58 (4, 'finalna predikcia', [1, 0, 0, 0], 'skutocnost', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'predikcia', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'USPECH')
23:31:58 (5, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.001, 0.978, 0.021], dtype=float32), 'CHYBA')
23:31:58 (6, 'finalna predikcia', [1, 0, 0, 0], 'skutocnost', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'predikcia', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'USPECH')
23:31:58 (7, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.995, 0.005], dtype=float32), 'USPECH')
23:31:58 (8, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.552, 0.448], dtype=float32), 'USPECH')
23:31:58 (9, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.982, 0.017], dtype=float32), 'CHYBA')
23:31:58 (10, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 1.000, 0.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.388, 0.611, 0.000], dtype=float32), 'CHYBA')
23:31:58 (11, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.851, 0.149], dtype=float32), 'USPECH')
23:31:58 (12, 'finalna predikcia', [1, 0, 0, 0], 'skutocnost', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'predikcia', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'USPECH')
23:31:58 (13, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.975, 0.025], dtype=float32), 'USPECH')
23:31:58 (14, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.996, 0.004], dtype=float32), 'USPECH')
23:31:58 (15, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.995, 0.005], dtype=float32), 'USPECH')
