21:13:25 Log Start
22:05:37 (0, 'finalna predikcia', [0, 0, 0, 1], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.441, 0.559], dtype=float32), 'USPECH')
22:05:37 (1, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.744, 0.256], dtype=float32), 'USPECH')
22:05:37 (2, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.001, 0.741, 0.258], dtype=float32), 'USPECH')
22:05:37 (3, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.001, 0.527, 0.471], dtype=float32), 'CHYBA')
22:05:37 (4, 'finalna predikcia', [1, 0, 0, 0], 'skutocnost', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'predikcia', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'USPECH')
22:05:37 (5, 'finalna predikcia', [0, 0, 0, 1], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.387, 0.612], dtype=float32), 'USPECH')
22:05:37 (6, 'finalna predikcia', [1, 0, 0, 0], 'skutocnost', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'predikcia', array([1.000, 0.000, 0.000, 0.000], dtype=float32), 'USPECH')
22:05:37 (7, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.002, 0.819, 0.179], dtype=float32), 'USPECH')
22:05:37 (8, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.015, 0.946, 0.039], dtype=float32), 'USPECH')
22:05:37 (9, 'finalna predikcia', [0, 0, 0, 1], 'skutocnost', array([0.000, 0.000, 0.000, 1.000], dtype=float32), 'predikcia', array([0.000, 0.000, 0.337, 0.663], dtype=float32), 'USPECH')
22:05:37 (10, 'finalna predikcia', [0, 1, 0, 0], 'skutocnost', array([0.000, 1.000, 0.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.737, 0.263, 0.000], dtype=float32), 'USPECH')
22:05:37 (11, 'finalna predikcia', [0, 0, 1, 0], 'skutocnost', array([0.000, 0.000, 1.000, 0.000], dtype=float32), 'predikcia', array([0.000, 0.005, 0.913, 0.082], dtype=float32), 'USPECH')
